CodIPVA,FABRICANTE,CATEGORIA,MODELO/VERSÃO
0000671ON,GIGA,MOTOCICLETAS/SIMILARES,GIGA/WATTS W2
0000677ON,GIGA,MOTOCICLETAS/SIMILARES,GIGA/WATTS W160
0000678ON,GIGA,MOTOCICLETAS/SIMILARES,GIGA/WATTS WS120
0000696ON,BMW,MOTOCICLETAS/SIMILARES,BMW/C400 X
0000698ON,DUCATI,MOTOCICLETAS/SIMILARES,DUCATI/DESERT X
0000700ON,BMW,MOTOCICLETAS/SIMILARES,BMW/C400 X SPORT
0000706ON,TIME,MOTOCICLETAS/SIMILARES,I/TIME TOP HR4
0000725ON,GCX,MOTOCICLETAS/SIMILARES,I/GCX VENTANE ROMA
0000728ON,ROYAL ENFIELD,MOTOCICLETAS/SIMILARES,RE/ROYAL HUNTER 350
0000733ON,GCX,MOTOCICLETAS/SIMILARES,I/GCX X-15
0000735ON,LVNENG,MOTOCICLETAS/SIMILARES,I/LVNENG WS120
0000739ON,FABRICANTES DIVERSOS,MOTOCICLETAS/SIMILARES,I/ANAIG GOODY TRUCK WITG
0000752ON,KAWASAKI,MOTOCICLETAS/SIMILARES,KAWASAKI/NINJA ZX-4R
0000754ON,KAWASAKI,MOTOCICLETAS/SIMILARES,KAWASAKI/NINJA ZX-4R
0000781ON,JIANGSU,MOTOCICLETAS/SIMILARES,I/JIANGSU W160
0000783ON,YAMAHA,MOTOCICLETAS/SIMILARES,YAMAHA/YZF R15 ABS
0000784ON,FUSCO,MOTOCICLETAS/SIMILARES,FUSCO/WIT A
0000794ON,YOUYAKU,MOTOCICLETAS/SIMILARES,I/YOUYAKU SPORT  901
0000798ON,HONDA,MOTOCICLETAS/SIMILARES,HONDA/NC 750X DCT
0000801ON,BMW,MOTOCICLETAS/SIMILARES,BMW/R1300GS TRIPLE BLACK
0000802ON,BMW,MOTOCICLETAS/SIMILARES,BMW/R1300GS OPTION 719
0000803ON,BMW,MOTOCICLETAS/SIMILARES,BMW/R1300GS TROPHY
0000804ON,BMW,MOTOCICLETAS/SIMILARES,BMW/R1300GS PLUS
0000805ON,BMW,MOTOCICLETAS/SIMILARES,BMW/R1300GS
0000806ON,SUZUKI,MOTOCICLETAS/SIMILARES,SUZUKI/V-STROM1050
0000816ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/STREET TRIPLE R
0000827ON,YONG,MOTOCICLETAS/SIMILARES,I/YONG JIU A7
0000831ON,YONG,MOTOCICLETAS/SIMILARES,I/YONG JIU A8
0000849ON,FABRICANTES DIVERSOS,MOTOCICLETAS/SIMILARES,I/YOUTAKU HAWK STS HW05
0000850ON,JTZ,MOTOCICLETAS/SIMILARES,JTZ/AK550I PREMIUM
0000853ON,WANGPAI,MOTOCICLETAS/SIMILARES,I/WANGPAI T-4
0000862ON,BORAM,MOTOCICLETAS/SIMILARES,BORAM/SC-20 EV
0000872ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/TIGER 900 GT
0000873ON,FABRICANTES DIVERSOS,MOTOCICLETAS/SIMILARES,I/LINGYUAN BRILSTAR LYT8
0000882ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/SCRAMBLER 1200XE
0000883ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/SCRAMBLER 1200X
0000884ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/TIGER 900 RALLYP
0000885ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/TIGER 900 GT PRO
0000900ON,AIMA,MOTOCICLETAS/SIMILARES,I/AIMA SOLO DREAMS
0000904ON,HARLEY DAVIDSON,MOTOCICLETAS/SIMILARES,H-D/RA1250S
0000905ON,HARLEY DAVIDSON,MOTOCICLETAS/SIMILARES,H-D/F LHXSE
0000918ON,HARLEY DAVIDSON,MOTOCICLETAS/SIMILARES,H-D/F LTRXSE
0000925ON,HARLEY DAVIDSON,MOTOCICLETAS/SIMILARES,H-D/FL HX
0000926ON,HARLEY DAVIDSON,MOTOCICLETAS/SIMILARES,H-D/FL TRX
0000931ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/SPEED 400
0000937ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/TRIDENT TRIBUTE
0000938ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/SCRAMBLER 400X
0000948ON,HONDA,MOTOCICLETAS/SIMILARES,HONDA/POP 110I ES
0000952ON,DUCATI,MOTOCICLETAS/SIMILARES,DUCATI-DEMAIS MODELOS
0000954ON,JTZ,MOTOCICLETAS/SIMILARES,JTZ/DR160 S
0000955ON,BMW,MOTOCICLETAS/SIMILARES,BMW/R 12
0000956ON,BMW,MOTOCICLETAS/SIMILARES,BMW/R 12 CRUISER
0000957ON,BMW,MOTOCICLETAS/SIMILARES,BMW/R 12 CRUISER 719
0000958ON,BMW,MOTOCICLETAS/SIMILARES,BMW/F 900 GS
0000959ON,BMW,MOTOCICLETAS/SIMILARES,BMW/F 900 GS PLUS
0000961ON,BMW,MOTOCICLETAS/SIMILARES,BMW/F 900 GS ADV PLUS
0000962ON,BMW,MOTOCICLETAS/SIMILARES,BMW/F 900 GS TROPHY
0000963ON,BMW,MOTOCICLETAS/SIMILARES,BMW/F 900 GS TROPHY PRO
0000964ON,BMW,MOTOCICLETAS/SIMILARES,BMW/F 800 GS
0000965ON,BMW,MOTOCICLETAS/SIMILARES,BMW/F 800 GS PLUS
0000966ON,HONDA,MOTOCICLETAS/SIMILARES,HONDA/ELITE 125
0000974ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/TIGER 1200 GT EX
0000975ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/TIGER 1200 RA EX
0000976ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/TIGER 1200 RA PR
0000977ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/TIGER 1200 GT PR
